subject,CRNN,CRNN_balanced,CRNN_kappa,CRNN_DF,CRNN_DF_balanced,CRNN_DF_kappa
A01,40.79861111111111,40.79861111111111,0.21064814814814814,56.770833333333336,56.770833333333336,0.42361111111111116
A02,25.694444444444443,25.694444444444446,0.0092592592592593,30.381944444444443,30.381944444444446,0.0717592592592593
A03,32.29166666666667,32.291666666666664,0.09722222222222221,49.13194444444444,49.13194444444444,0.3217592592592593
A04,32.29166666666667,32.29166666666667,0.09722222222222221,30.90277777777778,30.90277777777778,0.07870370370370372
A05,27.77777777777778,27.77777777777778,0.03703703703703709,32.63888888888889,32.63888888888889,0.10185185185185186
A06,39.40972222222222,39.40972222222222,0.19212962962962965,36.11111111111111,36.11111111111111,0.14814814814814814
A07,26.73611111111111,26.73611111111111,0.02314814814814814,39.23611111111111,39.23611111111111,0.18981481481481477
A08,41.49305555555556,41.49305555555556,0.21990740740740744,47.39583333333333,47.39583333333333,0.29861111111111116
A09,45.83333333333333,45.83333333333333,0.2777777777777778,55.55555555555556,55.55555555555555,0.40740740740740744
