seed,fold_seed,subject,CRNN,CRNN_balanced,CRNN_kappa,CRNN_DF,CRNN_DF_balanced,CRNN_DF_kappa,DF_minus_CRNN,mean_inter_center_distance
42,43,A01,43.75,43.75,0.25,44.96527777777778,44.96527777777778,0.2662037037037037,1.215277777777779,1.1552439572514512
42,44,A02,29.34027777777778,29.34027777777778,0.05787037037037035,28.819444444444443,28.819444444444443,0.05092592592592593,-0.520833333333337,1.414251796099685
42,45,A03,46.875,46.875,0.29166666666666663,52.604166666666664,52.60416666666667,0.3680555555555556,5.7291666666666625,1.1302080194534083
42,46,A04,33.85416666666667,33.85416666666667,0.11805555555555558,32.98611111111111,32.98611111111111,0.10648148148148151,-0.868055555555558,1.3291795266143416
42,47,A05,24.65277777777778,24.652777777777775,-0.004629629629629539,31.07638888888889,31.076388888888886,0.08101851851851849,6.423611111111111,1.4137720129771136
42,48,A06,35.41666666666667,35.416666666666664,0.13888888888888884,36.97916666666667,36.979166666666664,0.1597222222222222,1.5625,1.3322773871006859
42,49,A07,24.131944444444446,24.131944444444443,-0.011574074074074181,32.8125,32.8125,0.10416666666666663,8.680555555555555,1.2632836783105323
42,50,A08,52.77777777777778,52.77777777777779,0.37037037037037035,57.638888888888886,57.638888888888886,0.43518518518518523,4.861111111111105,1.172242992689796
42,51,A09,46.35416666666667,46.354166666666664,0.2847222222222222,54.166666666666664,54.16666666666667,0.38888888888888884,7.812499999999995,1.2013214186855512
43,44,A01,35.41666666666667,35.41666666666667,0.13888888888888884,49.47916666666667,49.47916666666667,0.32638888888888884,14.0625,1.193260853919373
43,45,A02,26.5625,26.5625,0.02083333333333337,31.944444444444443,31.944444444444443,0.09259259259259256,5.381944444444442,1.4536512674022621
43,46,A03,35.24305555555556,35.24305555555556,0.13657407407407407,53.645833333333336,53.64583333333333,0.3819444444444444,18.40277777777778,1.0441393906554137
43,47,A04,28.47222222222222,28.47222222222222,0.04629629629629628,30.555555555555557,30.555555555555554,0.07407407407407407,2.083333333333337,1.2955611126771036
43,48,A05,27.256944444444443,27.256944444444443,0.03009259259259256,26.041666666666668,26.041666666666668,0.01388888888888884,-1.2152777777777735,1.4168316899174191
43,49,A06,40.97222222222222,40.97222222222222,0.2129629629629629,39.93055555555556,39.93055555555556,0.19907407407407407,-1.041666666666663,1.3583837238196457
43,50,A07,25.694444444444443,25.694444444444443,0.0092592592592593,33.85416666666667,33.85416666666667,0.11805555555555558,8.159722222222227,1.25964551569286
43,51,A08,43.40277777777778,43.40277777777778,0.24537037037037035,45.48611111111111,45.48611111111111,0.27314814814814814,2.0833333333333313,1.2170440732082495
43,52,A09,57.11805555555556,57.11805555555555,0.4282407407407407,60.59027777777778,60.59027777777778,0.4745370370370371,3.472222222222221,1.1819976408707473
44,45,A01,49.13194444444444,49.13194444444445,0.3217592592592593,55.38194444444444,55.38194444444444,0.40509259259259256,6.25,1.1558047671613203
44,46,A02,25.868055555555557,25.868055555555554,0.01157407407407407,25.868055555555557,25.868055555555554,0.01157407407407407,0.0,1.3804547640592877
44,47,A03,39.23611111111111,39.23611111111111,0.18981481481481477,53.298611111111114,53.298611111111114,0.37731481481481477,14.062500000000005,1.1286359644298771
44,48,A04,29.6875,29.687500000000007,0.0625,40.625,40.62500000000001,0.20833333333333337,10.9375,1.353568083719454
44,49,A05,26.38888888888889,26.38888888888889,0.01851851851851849,29.51388888888889,29.51388888888889,0.06018518518518523,3.125,1.38241053014505
44,50,A06,35.06944444444444,35.06944444444445,0.1342592592592593,37.15277777777778,37.15277777777778,0.1620370370370371,2.083333333333337,1.3358258268914047
44,51,A07,24.305555555555554,24.305555555555554,-0.0092592592592593,38.36805555555556,38.36805555555555,0.1782407407407407,14.062500000000004,1.2749820944010624
44,52,A08,42.53472222222222,42.534722222222214,0.23379629629629628,59.201388888888886,59.201388888888886,0.4560185185185185,16.666666666666664,1.260102533266713
44,53,A09,53.645833333333336,53.64583333333333,0.3819444444444444,57.8125,57.8125,0.4375,4.1666666666666625,1.2326249226666326
